timestamp,temperature,noise_level
2025-08-01 08:00:00,60.98,42.31
2025-08-01 09:00:00,66.56,59.0
2025-08-01 10:00:00,71.55,42.84
2025-08-01 11:00:00,75.44,48.31
2025-08-01 12:00:00,78.97,59.0
2025-08-01 13:00:00,78.81,45.12
2025-08-01 14:00:00,79.05,33.18
2025-08-01 15:00:00,79.49,59.0
2025-08-01 16:00:00,78.85,28.24
2025-08-01 17:00:00,79.01,24.08
2025-08-02 08:00:00,62.87,23.6
2025-08-02 09:00:00,69.34,59.0
2025-08-02 10:00:00,74.9,36.66
2025-08-02 11:00:00,78.92,46.6
2025-08-02 12:00:00,78.69,59.0
2025-08-02 13:00:00,78.68,40.16
2025-08-02 14:00:00,79.29,22.33
2025-08-02 15:00:00,79.03,59.0
2025-08-02 16:00:00,78.62,38.9
2025-08-02 17:00:00,78.89,47.27
2025-08-03 08:00:00,57.6,28.04
2025-08-03 09:00:00,64.96,59.0
2025-08-03 10:00:00,71.6,42.56
2025-08-03 11:00:00,76.11,47.26
2025-08-03 12:00:00,79.21,59.0
2025-08-03 13:00:00,79.4,25.66
2025-08-03 14:00:00,78.65,27.39
2025-08-03 15:00:00,79.5,59.0
2025-08-03 16:00:00,78.79,20.59
2025-08-03 17:00:00,79.29,37.87
2025-08-04 08:00:00,57.68,30.87
2025-08-04 09:00:00,66.0,59.0
2025-08-04 10:00:00,72.38,40.27
2025-08-04 11:00:00,78.55,30.31
2025-08-04 12:00:00,78.75,59.0
2025-08-04 13:00:00,79.38,26.68
2025-08-04 14:00:00,78.54,23.78
2025-08-04 15:00:00,78.84,59.0
2025-08-04 16:00:00,79.21,41.4
2025-08-04 17:00:00,78.51,40.33
2025-08-05 08:00:00,58.02,39.2
2025-08-05 09:00:00,64.0,59.0
2025-08-05 10:00:00,69.04,29.6
2025-08-05 11:00:00,73.36,22.13
2025-08-05 12:00:00,77.22,59.0
2025-08-05 13:00:00,78.57,35.27
2025-08-05 14:00:00,78.9,33.48
2025-08-05 15:00:00,78.99,59.0
2025-08-05 16:00:00,79.42,38.3
2025-08-05 17:00:00,78.94,39.53
2025-08-06 08:00:00,56.88,38.03
2025-08-06 09:00:00,60.46,59.0
2025-08-06 10:00:00,63.48,49.25
2025-08-06 11:00:00,65.95,38.07
2025-08-06 12:00:00,68.05,59.0
2025-08-06 13:00:00,70.33,36.05
2025-08-06 14:00:00,70.39,34.07
2025-08-06 15:00:00,71.34,59.0
2025-08-06 16:00:00,70.6,27.32
2025-08-06 17:00:00,70.28,37.27
2025-08-07 08:00:00,56.59,45.7
2025-08-07 09:00:00,63.85,59.0
2025-08-07 10:00:00,69.74,31.92
2025-08-07 11:00:00,73.51,26.81
2025-08-07 12:00:00,77.58,59.0
2025-08-07 13:00:00,78.67,48.14
2025-08-07 14:00:00,79.33,32.49
2025-08-07 15:00:00,78.93,59.0
2025-08-07 16:00:00,79.0,37.73
2025-08-07 17:00:00,78.86,49.03
2025-08-08 08:00:00,59.75,28.13
2025-08-08 09:00:00,66.92,59.0
2025-08-08 10:00:00,72.54,45.72
2025-08-08 11:00:00,76.95,37.75
2025-08-08 12:00:00,78.77,59.0
2025-08-08 13:00:00,78.77,28.55
2025-08-08 14:00:00,79.18,46.44
2025-08-08 15:00:00,79.02,59.0
2025-08-08 16:00:00,78.64,44.14
2025-08-08 17:00:00,78.78,37.94
2025-08-09 08:00:00,62.02,28.43
2025-08-09 09:00:00,68.77,59.0
2025-08-09 10:00:00,74.33,44.56
2025-08-09 11:00:00,79.2,27.75
2025-08-09 12:00:00,78.88,59.0
2025-08-09 13:00:00,78.84,39.06
2025-08-09 14:00:00,79.3,49.92
2025-08-09 15:00:00,78.95,59.0
2025-08-09 16:00:00,78.51,44.21
2025-08-09 17:00:00,78.93,34.67
2025-08-10 08:00:00,59.76,35.07
2025-08-10 09:00:00,64.89,59.0
2025-08-10 10:00:00,69.58,34.31
2025-08-10 11:00:00,73.57,21.26
2025-08-10 12:00:00,76.48,59.0
2025-08-10 13:00:00,78.02,43.01
2025-08-10 14:00:00,78.76,34.61
2025-08-10 15:00:00,79.45,59.0
2025-08-10 16:00:00,79.33,41.71
2025-08-10 17:00:00,78.11,35.39
2025-08-11 08:00:00,59.87,40.34
2025-08-11 09:00:00,63.21,59.0
2025-08-11 10:00:00,65.97,34.6
2025-08-11 11:00:00,68.94,35.53
2025-08-11 12:00:00,70.83,59.0
2025-08-11 13:00:00,72.19,21.35
2025-08-11 14:00:00,72.54,47.43
2025-08-11 15:00:00,73.0,59.0
2025-08-11 16:00:00,72.46,35.29
2025-08-11 17:00:00,72.43,42.47
2025-08-12 08:00:00,57.37,39.39
2025-08-12 09:00:00,61.86,59.0
2025-08-12 10:00:00,65.5,39.42
2025-08-12 11:00:00,68.32,41.06
2025-08-12 12:00:00,71.11,59.0
2025-08-12 13:00:00,72.12,44.32
2025-08-12 14:00:00,73.92,31.23
2025-08-12 15:00:00,74.28,59.0
2025-08-12 16:00:00,73.36,47.56
2025-08-12 17:00:00,73.09,47.69
2025-08-13 08:00:00,60.37,45.79
2025-08-13 09:00:00,63.52,59.0
2025-08-13 10:00:00,66.18,38.98
2025-08-13 11:00:00,68.52,20.85
2025-08-13 12:00:00,70.53,59.0
2025-08-13 13:00:00,72.14,33.91
2025-08-13 14:00:00,73.08,34.34
2025-08-13 15:00:00,73.26,59.0
2025-08-13 16:00:00,72.94,39.48
2025-08-13 17:00:00,71.84,31.52
2025-08-14 08:00:00,62.53,21.32
2025-08-14 09:00:00,67.58,59.0
2025-08-14 10:00:00,72.12,36.91
2025-08-14 11:00:00,74.86,21.91
2025-08-14 12:00:00,77.97,59.0
2025-08-14 13:00:00,78.89,25.94
2025-08-14 14:00:00,78.8,44.03
2025-08-14 15:00:00,79.12,59.0
2025-08-14 16:00:00,79.47,37.77
2025-08-14 17:00:00,79.41,22.31
2025-08-15 08:00:00,57.78,47.79
2025-08-15 09:00:00,63.09,59.0
2025-08-15 10:00:00,67.94,49.96
2025-08-15 11:00:00,71.81,29.2
2025-08-15 12:00:00,74.45,59.0
2025-08-15 13:00:00,76.67,41.15
