timestamp,order_id,pack_date,ship_date,ship_method,number_of_items,box_size,defect_reported
2025-07-31 14:00:00,18c2c04d-c733-4dd1-9bc0-97d0a25d458c,2025-08-01 08:00:00,2025-08-02 04:00:00,ups,1,C,
2025-07-31 12:00:00,eaba2885-55fb-44e5-8036-38e2caa57477,2025-08-01 08:00:00,2025-08-02 05:00:00,fedex,4,B,
2025-08-01 07:00:00,ee9e5974-14c3-4977-a45c-7a335a25f262,2025-08-01 08:00:00,2025-08-01 15:00:00,fedex,5,B,
2025-07-31 09:00:00,1ad13a8e-2928-4ae6-83dd-507786c4e1ec,2025-08-01 08:00:00,2025-08-01 21:00:00,dhl,3,B,
2025-08-01 02:00:00,db937819-6591-45f4-ad75-e824ef934473,2025-08-01 08:00:00,2025-08-01 14:00:00,usps,3,C,
2025-07-31 09:00:00,9585dedf-ec44-45c5-9cef-4b3ed0ad386a,2025-08-01 08:00:00,2025-08-01 14:00:00,ups,4,C,
2025-07-31 10:00:00,b9a5e2a2-8e0a-40e9-bbad-230ce1e6cf0a,2025-08-01 08:00:00,2025-08-01 22:00:00,fedex,3,B,
2025-07-31 20:00:00,b2231c4d-018f-49af-a528-edc1c19e7c75,2025-08-01 09:00:00,2025-08-02 06:00:00,dhl,2,B,
2025-07-31 21:00:00,48a6c708-98f3-44ca-aaec-7b9dfbe2d227,2025-08-01 09:00:00,2025-08-01 21:00:00,fedex,1,C,
2025-08-01 07:00:00,81f6b0a7-ab41-4c37-9026-cba08216ff47,2025-08-01 09:00:00,2025-08-01 17:00:00,dhl,3,C,
2025-07-31 12:00:00,d11341d8-dd37-4513-8b77-d08ffa36e470,2025-08-01 09:00:00,2025-08-01 20:00:00,ups,1,B,
2025-08-01 00:00:00,fb1fd0ad-48a4-4e30-b8a1-c54e37b25a5c,2025-08-01 09:00:00,2025-08-02 02:00:00,fedex,5,B,
2025-08-01 00:00:00,8c0a8dfa-3d4e-4241-b1ce-c707fbf64563,2025-08-01 10:00:00,2025-08-01 22:00:00,dhl,1,C,
2025-08-01 03:00:00,831dabe1-ce2a-4db3-a212-650332b3fff2,2025-08-01 10:00:00,2025-08-01 20:00:00,ups,5,B,
2025-08-01 00:00:00,f683abf6-5bcc-4b8c-92cd-080cff320a6e,2025-08-01 10:00:00,2025-08-01 22:00:00,usps,1,C,
2025-08-01 07:00:00,ac7c9a41-42b0-401b-93ba-ced3cc2b65e6,2025-08-01 11:00:00,2025-08-01 21:00:00,usps,1,A,
2025-07-31 12:00:00,0d19342b-9ab9-42ae-8ad4-1a04e0dbd60b,2025-08-01 11:00:00,2025-08-01 22:00:00,dhl,1,A,
2025-08-01 02:00:00,9ccd79e9-5a34-46b0-8408-cc963494582e,2025-08-01 12:00:00,2025-08-02 00:00:00,fedex,4,A,
2025-08-01 06:00:00,3f7a4776-ffda-4fae-bbd9-049f001ac2ad,2025-08-01 12:00:00,2025-08-01 19:00:00,usps,5,C,
2025-08-01 09:00:00,72384e4f-692a-49d1-ba83-2114c95498fb,2025-08-01 12:00:00,2025-08-02 02:00:00,ups,4,C,
2025-07-31 21:00:00,b9c50fdc-cf88-417a-9246-c2d08b9f5e96,2025-08-01 13:00:00,2025-08-02 07:00:00,dhl,3,C,
2025-07-31 16:00:00,2b274dc2-023b-40fb-a556-b77f63d9711e,2025-08-01 13:00:00,2025-08-02 12:00:00,fedex,5,A,
2025-08-01 10:00:00,24c2a1f3-92f4-448f-b0a3-be227d59478a,2025-08-01 13:00:00,2025-08-02 08:00:00,dhl,3,C,
2025-07-31 20:00:00,8cab9e68-1ac6-4e3f-b7b3-3851f747a6f2,2025-08-01 13:00:00,2025-08-02 01:00:00,fedex,2,B,
2025-08-01 00:00:00,15980967-c64b-429e-8437-716830c8bd4f,2025-08-01 13:00:00,2025-08-01 22:00:00,ups,5,A,
2025-07-31 18:00:00,bdac4730-40b0-49ce-a399-9e2ea2c3847e,2025-08-01 13:00:00,2025-08-02 10:00:00,fedex,4,A,
2025-08-01 06:00:00,fbdb261f-eee3-4b7e-be10-d2b0e97a1bb2,2025-08-01 14:00:00,2025-08-02 03:00:00,ups,4,A,
2025-07-31 16:00:00,17391ea7-2567-4fc0-be13-43c1fcfeae0b,2025-08-01 14:00:00,2025-08-02 06:00:00,usps,5,C,
